Date,OutletID,OutletName,CashierID,CashierName,TransactionID,PaymentType,AmountKES,ItemCode,ItemName,Category,Quantity,UnitPriceKES,TotalPriceKES,CostPriceKES,ProfitKES,PrescriptionRequired,ExpiryDate,StockLevelBefore,StockLevelAfter,Voided,DiscountPercent
2024-07-05 13:07:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN11040,Cash,100.0,MED019,Antacid Tablets,Gastro,1,100,100.0,60,40.0,No,2024-08-19 13:07:00,106,105,No,0.0
2024-07-05 15:16:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10766,M-Pesa,120.0,MED005,Metformin 500mg,Chronic,1,120,120.0,70,50.0,Yes,2025-01-01 15:16:00,31,30,No,0.0
2024-07-06 09:25:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11457,M-Pesa,150.0,MED003,Amoxicillin 500mg,Antibiotics,1,150,150.0,90,60.0,Yes,2025-01-02 09:25:00,49,48,No,0.0
2024-07-06 09:52:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN11479,Cash,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2026-07-06 09:52:00,69,68,No,0.0
2024-07-06 10:07:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11423,Cash,280.0,MED020,Eye Drops 10ml,Ophthalmic,1,280,280.0,170,110.0,No,2025-07-06 10:07:00,156,155,No,0.0
2024-07-06 10:21:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10246,M-Pesa,100.0,MED019,Antacid Tablets,Gastro,1,100,100.0,60,40.0,No,2025-07-06 10:21:00,106,105,No,0.0
2024-07-06 10:50:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11031,M-Pesa,550.0,MED014,Artemether-Lum,Antimalarials,1,550,550.0,350,200.0,Yes,2024-08-20 10:50:00,57,56,No,0.0
2024-07-06 12:27:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11182,M-Pesa,315.0,MED004,Azithromycin 250mg,Antibiotics,1,350,315.0,200,115.0,Yes,2024-10-04 12:27:00,109,108,No,10.0
2024-07-06 12:40:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10527,M-Pesa,1200.0,MED012,Flu Capsules,Cold & Flu,10,120,1200.0,700,500.0,No,2025-01-02 12:40:00,142,132,No,0.0
2024-07-06 14:08:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN11487,M-Pesa,350.0,MED004,Azithromycin 250mg,Antibiotics,1,350,350.0,200,150.0,Yes,2025-01-02 14:08:00,159,158,No,0.0
2024-07-06 15:05:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10094,M-Pesa,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2024-10-04 15:05:00,80,79,No,0.0
2024-07-06 15:14:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11254,M-Pesa,150.0,MED016,Zinc Tablets,Supplements,1,150,150.0,90,60.0,No,2026-07-06 15:14:00,35,34,No,0.0
2024-07-06 16:46:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN11353,M-Pesa,450.0,MED010,Multivitamin Plus,Vitamins,1,450,450.0,280,170.0,No,2026-07-06 16:46:00,90,89,Yes,
2024-07-06 16:59:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10331,M-Pesa,50.0,MED001,Paracetamol 500mg,Painkillers,1,50,50.0,30,20.0,No,2026-07-06 16:59:00,102,101,No,0.0
2024-07-06 21:26:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10885,M-Pesa,300.0,MED013,Malaria Test Kit,Diagnostics,1,300,300.0,180,120.0,No,2024-08-05 21:26:00,87,86,No,0.0
2024-07-06 21:54:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10478,M-Pesa,108.0,MED012,Flu Capsules,Cold & Flu,1,120,108.0,70,38.0,No,2026-07-06 21:54:00,54,53,No,10.0
2024-07-07 08:06:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10361,M-Pesa,150.0,MED003,Amoxicillin 500mg,Antibiotics,1,150,150.0,90,60.0,Yes,2025-07-07 08:06:00,142,141,No,0.0
2024-07-07 12:40:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10919,M-Pesa,120.0,MED005,Metformin 500mg,Chronic,1,120,120.0,70,50.0,Yes,2026-07-07 12:40:00,44,43,No,0.0
2024-07-07 14:25:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10342,Card,150.0,MED017,Insulin Syringe,Diabetes,3,50,150.0,75,75.0,No,2025-07-07 14:25:00,125,122,No,0.0
2024-07-07 17:02:00,OUT003,Kisumu Mega,C007,Lucy Achieng,TXN10656,Cash,150.0,MED003,Amoxicillin 500mg,Antibiotics,1,150,150.0,90,60.0,Yes,2025-07-07 17:02:00,163,162,No,0.0
2024-07-07 18:26:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN11367,M-Pesa,300.0,MED013,Malaria Test Kit,Diagnostics,1,300,300.0,180,120.0,No,2024-09-05 18:26:00,115,114,Yes,0.0
2024-07-07 18:39:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11198,M-Pesa,450.0,MED010,Multivitamin Plus,Vitamins,1,450,450.0,280,170.0,No,2026-07-07 18:39:00,186,185,No,
2024-07-07 19:55:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10782,M-Pesa,1500.0,MED013,Malaria Test Kit,Diagnostics,5,300,1500.0,900,600.0,No,2025-07-07 19:55:00,98,93,No,
2024-07-08 08:48:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN10523,Cash,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2024-09-06 08:48:00,187,186,No,0.0
2024-07-08 14:03:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10026,M-Pesa,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2025-01-04 14:03:00,133,132,No,0.0
2024-07-08 17:57:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN11171,M-Pesa,600.0,MED013,Malaria Test Kit,Diagnostics,2,300,600.0,360,240.0,No,2025-01-04 17:57:00,57,55,No,0.0
2024-07-09 11:20:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10552,M-Pesa,200.0,MED007,Omeprazole 20mg,Gastro,1,200,200.0,120,80.0,No,2026-07-09 11:20:00,168,167,No,0.0
2024-07-09 11:50:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10893,M-Pesa,500.0,MED009,Vitamin C 1000mg,Vitamins,2,250,500.0,300,200.0,No,2024-08-23 11:50:00,119,117,No,0.0
2024-07-09 12:33:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11126,M-Pesa,60.0,MED008,Cetirizine 10mg,Allergy,1,60,60.0,35,25.0,No,2025-01-05 12:33:00,32,31,No,0.0
2024-07-10 11:36:00,OUT003,Kisumu Mega,C007,Lucy Achieng,TXN10203,M-Pesa,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2024-10-08 11:36:00,182,181,No,0.0
2024-07-10 12:42:00,OUT003,Kisumu Mega,C007,Lucy Achieng,TXN10099,M-Pesa,200.0,MED019,Antacid Tablets,Gastro,2,100,200.0,120,80.0,No,2026-07-10 12:42:00,177,175,Yes,0.0
2024-07-10 14:06:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10525,Cash,200.0,MED019,Antacid Tablets,Gastro,2,100,200.0,120,80.0,No,2024-09-08 14:06:00,67,65,Yes,0.0
2024-07-10 15:05:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN11012,M-Pesa,600.0,MED018,BP Monitor Battery,Equipment,3,200,600.0,360,240.0,No,2025-07-10 15:05:00,186,183,No,0.0
2024-07-10 15:15:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10691,M-Pesa,150.0,MED016,Zinc Tablets,Supplements,1,150,150.0,90,60.0,No,2025-07-10 15:15:00,31,30,No,0.0
2024-07-10 21:12:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10038,M-Pesa,600.0,MED018,BP Monitor Battery,Equipment,3,200,600.0,360,240.0,No,2026-07-10 21:12:00,185,182,No,0.0
2024-07-11 08:30:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10636,M-Pesa,50.0,MED001,Paracetamol 500mg,Painkillers,1,50,50.0,30,20.0,No,2025-07-11 08:30:00,129,128,No,0.0
2024-07-11 09:11:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10220,M-Pesa,64.0,MED002,Ibuprofen 400mg,Painkillers,1,80,64.0,50,14.0,No,2024-10-09 09:11:00,68,67,Yes,20.0
2024-07-11 10:46:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10394,M-Pesa,57.0,MED008,Cetirizine 10mg,Allergy,1,60,57.0,35,22.0,No,2026-07-11 10:46:00,32,31,No,5.0
2024-07-11 12:25:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10336,M-Pesa,60.0,MED015,ORS Sachets,Gastro,2,30,60.0,30,30.0,No,2024-08-10 12:25:00,90,88,No,0.0
2024-07-11 16:27:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11026,M-Pesa,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2026-07-11 16:27:00,52,51,No,0.0
2024-07-11 16:41:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10529,M-Pesa,750.0,MED003,Amoxicillin 500mg,Antibiotics,5,150,750.0,450,300.0,Yes,2024-10-09 16:41:00,44,39,No,0.0
2024-07-11 17:27:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10043,M-Pesa,200.0,MED018,BP Monitor Battery,Equipment,1,200,200.0,120,80.0,No,2025-07-11 17:27:00,174,173,No,0.0
2024-07-11 18:15:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10708,M-Pesa,238.0,MED020,Eye Drops 10ml,Ophthalmic,1,280,238.0,170,68.0,No,2024-08-25 18:15:00,187,186,No,15.0
2024-07-11 19:07:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN10845,Cash,450.0,MED016,Zinc Tablets,Supplements,3,150,450.0,270,180.0,No,2024-10-09 19:07:00,169,166,No,0.0
2024-07-11 20:54:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10075,M-Pesa,1350.0,MED010,Multivitamin Plus,Vitamins,3,450,1350.0,840,510.0,No,2024-09-09 20:54:00,74,71,No,0.0
2024-07-12 09:16:00,OUT003,Kisumu Mega,C007,Lucy Achieng,TXN10763,M-Pesa,180.0,MED011,Cough Syrup 100ml,Cold & Flu,1,180,180.0,100,80.0,No,2025-01-08 09:16:00,195,194,No,0.0
2024-07-12 11:01:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10498,M-Pesa,300.0,MED019,Antacid Tablets,Gastro,3,100,300.0,180,120.0,No,2026-07-12 11:01:00,139,136,No,0.0
2024-07-12 12:12:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10649,Card,450.0,MED010,Multivitamin Plus,Vitamins,1,450,450.0,280,170.0,No,2025-07-12 12:12:00,128,127,No,0.0
2024-07-12 17:52:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN10004,Cash,200.0,MED007,Omeprazole 20mg,Gastro,1,200,200.0,120,80.0,No,2024-10-10 17:52:00,100,99,No,0.0
2024-07-12 19:09:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN11230,M-Pesa,150.0,MED016,Zinc Tablets,Supplements,1,150,150.0,90,60.0,No,2025-01-08 19:09:00,114,113,No,0.0
2024-07-12 20:21:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10685,M-Pesa,450.0,MED010,Multivitamin Plus,Vitamins,1,450,450.0,280,170.0,No,2024-08-11 20:21:00,152,151,No,0.0
2024-07-13 08:45:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10963,M-Pesa,80.0,MED002,Ibuprofen 400mg,Painkillers,1,80,80.0,50,30.0,No,2025-01-09 08:45:00,87,86,No,0.0
2024-07-13 09:07:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11024,M-Pesa,180.0,MED011,Cough Syrup 100ml,Cold & Flu,1,180,180.0,100,80.0,No,2024-08-27 09:07:00,86,85,No,0.0
2024-07-13 10:10:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10333,M-Pesa,300.0,MED013,Malaria Test Kit,Diagnostics,1,300,300.0,180,120.0,No,2026-07-13 10:10:00,21,20,No,0.0
2024-07-13 10:51:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN11408,M-Pesa,50.0,MED001,Paracetamol 500mg,Painkillers,1,50,50.0,30,20.0,No,2026-07-13 10:51:00,108,107,No,0.0
2024-07-13 11:07:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10219,M-Pesa,550.0,MED014,Artemether-Lum,Antimalarials,1,550,550.0,350,200.0,Yes,2025-01-09 11:07:00,98,97,No,0.0
2024-07-13 12:22:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10061,M-Pesa,300.0,MED013,Malaria Test Kit,Diagnostics,1,300,300.0,180,120.0,No,2025-07-13 12:22:00,92,91,No,0.0
2024-07-13 12:54:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10928,Cash,360.0,MED010,Multivitamin Plus,Vitamins,1,450,360.0,280,80.0,No,2024-08-27 12:54:00,135,134,No,20.0
2024-07-13 17:28:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN10680,M-Pesa,100.0,MED017,Insulin Syringe,Diabetes,2,50,100.0,50,50.0,No,2025-07-13 17:28:00,55,53,No,0.0
2024-07-13 21:21:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10585,M-Pesa,47.5,MED001,Paracetamol 500mg,Painkillers,1,50,47.5,30,17.5,No,2026-07-13 21:21:00,164,163,No,5.0
2024-07-14 09:44:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11368,M-Pesa,60.0,MED008,Cetirizine 10mg,Allergy,1,60,60.0,35,25.0,No,2026-07-14 09:44:00,121,120,No,0.0
2024-07-14 10:07:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10128,M-Pesa,80.0,MED002,Ibuprofen 400mg,Painkillers,1,80,80.0,50,30.0,No,2025-07-14 10:07:00,67,66,No,0.0
2024-07-14 11:54:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11358,Cash,171.0,MED006,Amlodipine 5mg,Chronic,1,180,171.0,100,71.0,Yes,2024-09-12 11:54:00,144,143,No,5.0
2024-07-14 14:33:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10492,M-Pesa,350.0,MED004,Azithromycin 250mg,Antibiotics,1,350,350.0,200,150.0,Yes,2024-10-12 14:33:00,133,132,No,0.0
2024-07-14 16:48:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11216,Cash,60.0,MED008,Cetirizine 10mg,Allergy,1,60,60.0,35,25.0,No,2025-01-10 16:48:00,167,166,No,0.0
2024-07-14 17:42:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN11172,M-Pesa,150.0,MED003,Amoxicillin 500mg,Antibiotics,1,150,150.0,90,60.0,Yes,2024-10-12 17:42:00,27,26,No,0.0
2024-07-14 18:20:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN11228,M-Pesa,50.0,MED017,Insulin Syringe,Diabetes,1,50,50.0,25,25.0,No,2024-10-12 18:20:00,181,180,No,0.0
2024-07-14 20:24:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10109,M-Pesa,250.0,MED009,Vitamin C 1000mg,Vitamins,1,250,250.0,150,100.0,No,2024-08-28 20:24:00,164,163,No,
2024-07-14 21:18:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10196,M-Pesa,550.0,MED014,Artemether-Lum,Antimalarials,1,550,550.0,350,200.0,Yes,2026-07-14 21:18:00,91,90,No,0.0
2024-07-14 21:19:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11210,M-Pesa,405.0,MED010,Multivitamin Plus,Vitamins,1,450,405.0,280,125.0,No,2025-01-10 21:19:00,176,175,No,10.0
2024-07-15 08:12:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10750,M-Pesa,120.0,MED005,Metformin 500mg,Chronic,1,120,120.0,70,50.0,Yes,2025-01-11 08:12:00,106,105,No,0.0
2024-07-15 09:03:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10291,M-Pesa,840.0,MED020,Eye Drops 10ml,Ophthalmic,3,280,840.0,510,330.0,No,2025-01-11 09:03:00,165,162,No,0.0
2024-07-15 10:46:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN11047,M-Pesa,120.0,MED012,Flu Capsules,Cold & Flu,1,120,120.0,70,50.0,No,2025-07-15 10:46:00,116,115,No,0.0
2024-07-15 11:00:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11077,M-Pesa,160.0,MED002,Ibuprofen 400mg,Painkillers,2,80,160.0,100,60.0,No,2025-01-11 11:00:00,41,39,No,0.0
2024-07-15 17:56:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN11498,M-Pesa,600.0,MED007,Omeprazole 20mg,Gastro,3,200,600.0,360,240.0,No,2024-07-30 17:56:00,194,191,No,0.0
2024-07-16 10:01:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10793,Cash,180.0,MED006,Amlodipine 5mg,Chronic,1,180,180.0,100,80.0,Yes,2025-01-12 10:01:00,146,145,No,0.0
2024-07-16 13:34:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10778,M-Pesa,1650.0,MED014,Artemether-Lum,Antimalarials,3,550,1650.0,1050,600.0,Yes,2025-01-12 13:34:00,40,37,No,0.0
2024-07-16 19:01:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10597,M-Pesa,180.0,MED011,Cough Syrup 100ml,Cold & Flu,1,180,180.0,100,80.0,No,2026-07-16 19:01:00,92,91,No,0.0
2024-07-16 20:17:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN10090,M-Pesa,200.0,MED007,Omeprazole 20mg,Gastro,1,200,200.0,120,80.0,No,2025-01-12 20:17:00,81,80,No,0.0
2024-07-17 12:14:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10913,Card,200.0,MED018,BP Monitor Battery,Equipment,1,200,200.0,120,80.0,No,2025-01-13 12:14:00,161,160,No,0.0
2024-07-17 14:18:00,OUT003,Kisumu Mega,C007,Lucy Achieng,TXN10256,M-Pesa,280.0,MED020,Eye Drops 10ml,Ophthalmic,1,280,280.0,170,110.0,No,2024-08-01 14:18:00,76,75,No,0.0
2024-07-17 14:56:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN11427,M-Pesa,450.0,MED010,Multivitamin Plus,Vitamins,1,450,450.0,280,170.0,No,2025-01-13 14:56:00,177,176,No,0.0
2024-07-17 17:28:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10119,M-Pesa,250.0,MED009,Vitamin C 1000mg,Vitamins,1,250,250.0,150,100.0,No,2024-10-15 17:28:00,20,19,No,0.0
2024-07-17 17:37:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10187,Cash,500.0,MED019,Antacid Tablets,Gastro,5,100,500.0,300,200.0,No,2024-08-01 17:37:00,47,42,No,0.0
2024-07-17 18:52:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN10712,M-Pesa,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2024-08-16 18:52:00,37,36,Yes,0.0
2024-07-17 19:39:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN11008,M-Pesa,150.0,MED016,Zinc Tablets,Supplements,1,150,150.0,90,60.0,No,2025-07-17 19:39:00,181,180,No,0.0
2024-07-17 21:22:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11426,M-Pesa,180.0,MED008,Cetirizine 10mg,Allergy,3,60,180.0,105,75.0,No,2025-07-17 21:22:00,77,74,No,0.0
2024-07-18 10:23:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10935,M-Pesa,1000.0,MED019,Antacid Tablets,Gastro,10,100,1000.0,600,400.0,No,2025-01-14 10:23:00,25,15,No,0.0
2024-07-18 10:59:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10677,M-Pesa,30.0,MED015,ORS Sachets,Gastro,1,30,30.0,15,15.0,No,2024-09-16 10:59:00,102,101,No,0.0
2024-07-18 11:27:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10968,Cash,180.0,MED011,Cough Syrup 100ml,Cold & Flu,1,180,180.0,100,80.0,No,2025-01-14 11:27:00,157,156,No,0.0
2024-07-18 16:16:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN11129,M-Pesa,120.0,MED005,Metformin 500mg,Chronic,1,120,120.0,70,50.0,Yes,2025-01-14 16:16:00,93,92,No,0.0
2024-07-18 21:26:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10411,M-Pesa,200.0,MED018,BP Monitor Battery,Equipment,1,200,200.0,120,80.0,No,2024-10-16 21:26:00,32,31,No,0.0
2024-07-18 21:46:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10003,M-Pesa,280.0,MED020,Eye Drops 10ml,Ophthalmic,1,280,280.0,170,110.0,No,2025-01-14 21:46:00,40,39,Yes,0.0
2024-07-19 09:57:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10396,M-Pesa,50.0,MED017,Insulin Syringe,Diabetes,1,50,50.0,25,25.0,No,2024-10-17 09:57:00,186,185,No,0.0
2024-07-19 10:28:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN10828,M-Pesa,102.0,MED012,Flu Capsules,Cold & Flu,1,120,102.0,70,32.0,No,2025-07-19 10:28:00,122,121,No,15.0
2024-07-19 10:37:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN11289,Card,50.0,MED001,Paracetamol 500mg,Painkillers,1,50,50.0,30,20.0,No,2024-09-17 10:37:00,162,161,No,0.0
2024-07-19 13:04:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN11027,M-Pesa,180.0,MED006,Amlodipine 5mg,Chronic,1,180,180.0,100,80.0,Yes,2026-07-19 13:04:00,139,138,No,0.0
2024-07-19 13:13:00,OUT001,Nairobi CBD,C003,Grace Muthoni,TXN11399,M-Pesa,350.0,MED004,Azithromycin 250mg,Antibiotics,1,350,350.0,200,150.0,Yes,2025-01-15 13:13:00,100,99,Yes,0.0
2024-07-19 13:36:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10798,Cash,50.0,MED001,Paracetamol 500mg,Painkillers,1,50,50.0,30,20.0,No,2026-07-19 13:36:00,26,25,No,0.0
2024-07-19 14:01:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN10308,Cash,100.0,MED017,Insulin Syringe,Diabetes,2,50,100.0,50,50.0,No,2025-01-15 14:01:00,113,111,No,0.0
2024-07-19 14:16:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10087,M-Pesa,200.0,MED007,Omeprazole 20mg,Gastro,1,200,200.0,120,80.0,No,2024-09-02 14:16:00,195,194,No,0.0
2024-07-19 15:11:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10512,M-Pesa,200.0,MED018,BP Monitor Battery,Equipment,1,200,200.0,120,80.0,No,2025-01-15 15:11:00,153,152,No,0.0
2024-07-19 17:09:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10956,M-Pesa,300.0,MED016,Zinc Tablets,Supplements,2,150,300.0,180,120.0,No,2024-09-17 17:09:00,31,29,No,0.0
2024-07-19 18:52:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10230,M-Pesa,700.0,MED004,Azithromycin 250mg,Antibiotics,2,350,700.0,400,300.0,Yes,2025-01-15 18:52:00,64,62,No,0.0
2024-07-20 09:51:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11393,Cash,150.0,MED003,Amoxicillin 500mg,Antibiotics,1,150,150.0,90,60.0,Yes,2025-07-20 09:51:00,47,46,No,0.0
2024-07-20 10:00:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10756,M-Pesa,350.0,MED004,Azithromycin 250mg,Antibiotics,1,350,350.0,200,150.0,Yes,2025-07-20 10:00:00,104,103,No,0.0
2024-07-20 10:59:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10209,M-Pesa,95.0,MED019,Antacid Tablets,Gastro,1,100,95.0,60,35.0,No,2025-01-16 10:59:00,120,119,No,5.0
2024-07-20 13:21:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10896,M-Pesa,550.0,MED014,Artemether-Lum,Antimalarials,1,550,550.0,350,200.0,Yes,2025-01-16 13:21:00,21,20,No,0.0
2024-07-20 15:31:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN11163,M-Pesa,240.0,MED002,Ibuprofen 400mg,Painkillers,3,80,240.0,150,90.0,No,2024-10-18 15:31:00,165,162,No,0.0
